Team,Rnd_1,R_1,ACS_1,K.D_1,KAST_1,ADR_1,KPR_1,APR_1,FKPR_1,FDPR_1,HS._1,CL,KMax_1,K_1,D_1,A_1,FK_1,FD_1,Open_Duel_Won_1,rank,GS_win,ecdf_rank,Percentile,Tournament,experience,rankRey21,rankBer21,performance,win,rankRey22,rankCop22,rankTok23
BLG,124,0.986,199.76,0.99,0.7,128.28,0.7,0.29800000000000004,0.09,0.108,0.212,0.15333333333333335,23,87,88.4,37,11.4,13.4,0.4318876961471821,7.5,0,0.5,50,Championships 2023,0,NA,NA,0,0,NA,NA,NA
DRX,144,1.012,198.01999999999998,0.992,0.694,127.96000000000001,0.69,0.33,0.098,0.10400000000000001,0.288,0.20500000000000002,24.6,99.6,100.2,47.6,14,15,0.481978021978022,5.5,1,0.375,37.5,Championships 2023,1,NA,NA,1,0,NA,NA,7.5
EDG,162,0.992,203.86,1.012,0.716,132.56,0.72,0.29000000000000004,0.092,0.106,0.254,0.17600000000000002,23.2,116.8,115.6,47,15.2,17.2,0.4361563085701017,5.5,0,0.375,37.5,Championships 2023,1,NA,NA,1,0,NA,NA,5.5
EG,92,1.102,209,1.106,0.722,140.66,0.746,0.374,0.11399999999999999,0.088,0.258,0.21,22.6,68.6,62,34.4,10.4,8,0.581519044399369,1,1,0.0625,6.25,Championships 2023,1,NA,NA,1,0,NA,NA,2
FNC,73,1.244,223.06,1.4340000000000002,0.8039999999999999,147.2,0.806,0.38,0.13,0.06999999999999999,0.286,0.4125,19.6,58.8,41.4,27.6,9.4,5.2,0.6734940800276553,4,1,0.25,25,Championships 2023,1,NA,NA,1,1,NA,NA,1
FPX,85,0.886,187.94,0.892,0.684,122.32000000000001,0.65,0.222,0.09,0.11,0.346,0.12,17.8,55.4,62.8,19,7.6,9.4,0.3963852813852814,14.5,0,1,100,Championships 2023,0,NA,NA,0,0,NA,NA,NA
FUT,136,1.128,216.82,1.1300000000000001,0.748,140.20000000000002,0.752,0.402,0.11,0.092,0.28600000000000003,0.17800000000000002,22.2,102.4,91.2,54.6,14.8,12.4,0.5149405061169767,7.5,0,0.5,50,Championships 2023,1,NA,NA,0,0,NA,NA,9.5
GIA,161,1.016,201.58,0.968,0.726,135.96,0.7,0.35400000000000004,0.1,0.09999999999999999,0.266,0.192,23.8,113,116.6,57,16.2,16,0.47981373889268625,10.5,0,0.75,75,Championships 2023,0,NA,NA,0,0,NA,NA,NA
KRÜ,90,0.918,180.12,0.864,0.668,122.08,0.606,0.254,0.098,0.10200000000000001,0.23600000000000002,0.125,18.2,54.6,64,22.8,8.8,9.2,0.485993265993266,14.5,0,1,100,Championships 2023,0,NA,NA,0,0,NA,NA,NA
LOUD,176,1.084,201.14000000000001,1.086,0.734,130.5,0.716,0.322,0.112,0.08800000000000001,0.24000000000000002,0.14600000000000002,23.2,126,116,56.8,20,15.2,0.5683912211819189,3,0,0.1875,18.75,Championships 2023,1,NA,NA,1,0,NA,NA,7.5
NAVI,204,0.994,191.56,1.004,0.72,128.9,0.682,0.28200000000000003,0.094,0.10400000000000001,0.29000000000000004,0.184,24,138.6,140.4,57.2,19,21.6,0.49522839649693867,10.5,0,0.75,75,Championships 2023,1,NA,NA,0,0,NA,NA,11.5
NRG,130,1.022,203.44,1,0.74,131.72,0.706,0.32,0.112,0.092,0.242,0.1375,21.6,91.4,91.4,41.4,11.2,9.2,0.5240595611285267,10.5,0,0.75,75,Championships 2023,1,NA,NA,1,0,NA,NA,4
PRX,91,1.1460000000000001,207.48000000000002,1.224,0.776,136.64000000000001,0.732,0.342,0.11,0.08600000000000001,0.28800000000000003,0.22999999999999998,23,66.6,54.8,31.2,10.2,8,0.6054761904761905,2,1,0.125,12.5,Championships 2023,1,NA,NA,1,0,NA,NA,3
T1,129,0.912,191.24,0.898,0.654,124.34,0.662,0.23600000000000002,0.088,0.11,0.266,0.192,17.6,85.4,95.8,30.6,11.4,14.4,0.40681888004468647,10.5,0,0.75,75,Championships 2023,1,NA,NA,0,0,NA,NA,9.5
TL,92,0.864,178.84,0.88,0.674,120.5,0.626,0.224,0.094,0.108,0.28200000000000003,0.15666666666666668,22.8,57.6,65.4,20.6,8.6,9.8,0.4870488721804511,14.5,0,1,100,Championships 2023,1,NA,NA,1,0,NA,NA,5.5
ZETA,79,0.678,157.42,0.738,0.558,99.76,0.582,0.184,0.06,0.142,0.216,0.07,19,45.8,62,14.6,3,7.2,0.30515406162464986,14.5,0,1,100,Championships 2023,0,NA,NA,0,0,NA,NA,NA
